text,label
"I paid la lot of money for this dryer and it came with out the stand was i supposed to buy this separate???? Thanks to all who replied. My daughter just checked again and found it. She is so happy and can't wait to use it. She is driving me crazy to roll up her hair. Laying it on the couch was a thought .lol Thanks again



    I paid la lot of money for this dryer and it came with out the stand was i supposed to buy this separate???? Thanks to all who replied. My daughter just checked again and found it. She is so happy...
      » 
Read More


   I paid la lot of money for this dryer and it came with out the stand was i supposed to buy this separate???? Thanks to all who replied. My daughter just checked again and found it. She is so happy and can't wait to use it. She is driving me crazy to roll up her hair. Laying it on the couch was a thought .lol Thanks again
      « 

Show Less",Personal Care
Would you recommend this dryer for deep conditioning?  I saw one review that states it's only good for roller sets and drying hair.  Thanks in advance,Personal Care
"Can you sit under with 2-3"" rollers?  My daughter has very thick long hair.",Personal Care
"does the dryer work well on fine, naturally curly hair, similar to air drying, just faster? Or does it blow the hair around too much?",Personal Care
"Is it okay for color-treated hair and/or ""keratin"" treated?",Personal Care
how do I use Nioxin scalp therapy -#4 conditioner for fine hair- do I leave it in or rinse it out,Personal Care
do I need to use it every day.? I don't shampoo my hair every day because it is dry.,Personal Care
Ihave fine highlighted hair is system 4 the one for me?,Personal Care
Would this product be helpful for someone who lost their hair due to chemo?,Personal Care
"I know with chemical peels the dead skin on your face starts to peel off, does this product do the same? do you actually see the dead skin?",Personal Care
"Can I adjust the trimmers to razor sharp, for a nice close hair lining ?",Personal Care
is lush hair dye completely free of chemicals?,Personal Care
"It produces so much static in my hair, will this eventually go away or should I return the brush?",Personal Care
"How long are the bristles, I have a hard time finding a brush that can go through all my hair.",Personal Care
is this a good brush for long thick hair?,Personal Care
can i just put it on my hair and use heat from blow dryer,Personal Care
will this show up on black hair?,Personal Care
"My mom's hair is drk blonde w/ gray..which blonde should I use to make her hair much lighter/shinier? pearl, honey, or golden? THANKS!!!",Personal Care
How I use cellophane treatment on my hair?,Personal Care
"""Can this product be applied like a hair mask, meaning you can just apply all over at once, or do you need to apply like a root touch up.",Personal Care
Do I need to buy two bottles? My hair is thick and it goes halfway down my back,Personal Care
This soap is good for African American sensitive  skin  ? I like to send a friend a gift.,Personal Care
does this define curls on curly hair?,Personal Care
bottle reads for use on fine or light colored hair.  Can this be used on dark colored hair,Personal Care
How do I decide which color I need to buy to match my skin?,Personal Care
"Is it good for fine, colored hair; does it weigh hair down?",Personal Care
"What hair type is this product for? Dry, normal or oily hair?",Personal Care
hair dyes that are safe to use,Personal Care
"I followed the direction: ""apply to damp hair and comb through to distribute evenly. Blow dry."" Why my hair is even drier than usual? Is it normal?",Personal Care
"Does this product work well for caucasian hair?  My daughter is caucasian with curly, easily tangled hair.  I'd be buying this for her.",Personal Care
Is this good for really dry skin?  I have combination but it's more on the dry side now that I'm getting older.,Personal Care
How do I decide which color I need to buy to match my skin?,Personal Care
Question for seller: What shade would you recommend for light to medium skin tone with beige NOT pink undertone? Thank you!,Personal Care
i have the Igora Royal Absolutes Hair Color - 7-70 Medium Copper Natural Blonde. do I mix 2 ounces of that with this developer or the whole tube?,Personal Care
Do you mix this 6% developer with both color cream tube and permanent hair color tube or just 1?,Personal Care
will this lighten my natural hair color? im dying it black and if it went wrong it would be a disaster. will this doveloper work on other color brands,Personal Care
"I have gray hair and am using 20 developer and 6.5 Schwarzkopf color, but my roots are not grabbing the color.  Any suggestions?",Personal Care
Can you curl hair using it?,Personal Care
"My mom is looking for a straightener that is ""truly flat"" and is good for thin or damaged hair. Will this work for her?",Personal Care
is it fine to use on out of the shower wet hair?,Personal Care
Is this hair dye? My natural hair color is blackk w/a blonde dye and now its like light brownish. can i use this?,Personal Care
when using pravana chroma silk hair color do you use the whole tube ? If so how much developer do you use and what stength,Personal Care
Is this hair dye? My natural hair color is blackk w/a blonde dye and now its like light brownish. can i use this?,Personal Care
when using pravana chroma silk hair color do you use the whole tube ? If so how much developer do you use and what stength,Personal Care
"I have a very stubborn hair, my hair has never relaxed before, anytime I put relaxer after washing it will come back natural again . Can I use this , hope it will relax my hair",Personal Care
I'm an Italian guy and have thick frizzy wavy hair. Can I use this on my hair safely and get good results or should I refrain?,Personal Care
How long should I keep it on my hair when I relax it? And should I avoid touching water within several days? Thanks!,Personal Care
"Hi, I'm kind of confused about the function of this product. Could this make your hair look better? Straighter?",Personal Care
"when I used other hair relaxers, I was normally told not to wash or wet my hair for several days . is it the same with Mizani hair relaxer?",Personal Care
"Can I use the brush under the shower and brush my hair when I have conditioner on, or will that damage the brush?",Personal Care
is the $120.00 model good for long hair?,Personal Care
Is this hairbrush appropriate for a guy's hair? I've used a similar style brush in the past that was geared towards messaging the scalp.,Personal Care
my face skin can only use Non-comedogenic please let me know if I can use this. Thanks so much,Personal Care
"Does this lotion, if it gets into your hairline or eyebrows, turn your hair a lighter color?",Personal Care
Is it good for Fine hair?,Personal Care
"Last dryer I got had three heat settings and the ""cool"" was still too hot for fragile hair. Is the cool on this one still hot, or is it coolish?",Personal Care
Some people say that is heavy other people says it is not. I would like to know the truth. Is this hair dryer heavy?,Personal Care
"I have long hair almost to the end of my back, how many boxes would you suggest I use and which option?",Personal Care
"I just did my perm but it didn't say anywhere when I can wash my hair, anyone know?  I know it can vary from 1-3 days depending on the perm.  Thanks!",Personal Care
Is it ok for colored hair?,Personal Care
Does this work well for a body wave perm? I have large 1 1/4  inch rods and am looking for volume. I don't want to end up with Dee Snider hair! :),Personal Care
Does it help with hair loss,Personal Care
is this particular machine good for tightening of the neck area.  I have recently lost some weight and i noticed my skin a little lose under the chin.,Personal Care
Is this product suitable for dry skin?,Personal Care
"One of the features of this product is ""whitening"" can anyone tell me what that means? Chemically whitens your skin? I hope not!",Personal Care
Is it okay to use face cream on top of the BB cream? Because it's not my skin tone so it makes me look lighter.,Personal Care
How can I remove this product of the skin after using it?,Personal Care
How well does this work on 60+ skin?,Personal Care
"Will these work in long, VERY thick hair?  Will there be enough rollers?  Will the curls last more than a few minutes??",Personal Care
"how hot does it get, cause i have thick hair and it needs a high temp. for my hair to curl",Personal Care
"Is this pernement, and how long will it last in hair?",Personal Care
How does this work on naturally white hair? I started going grey EARLY!! And now I'm mostly blondish-white.,Personal Care
I want to get a deep wine-reddish color. But I have black hair. Can I get that effect? If so which color?,Personal Care
"Once you dye your hair blonde, do you have to dye it again?",Personal Care
"How much does the color bleed for this dye? Am I going to color everything my hair comes in contact with, or is it only after a couple of washes?",Personal Care
wich one is best for dark skin toned i am a same type skin color like kelly rowland,Personal Care
Are all the bb creams for fair skinned people or can people with medium skin use as well?,Personal Care
I have bum length hair that is fine and straight. Which brush should I buy? The sesitive boar brush or the regular boar? my hair is my crown and glory,Personal Care
"will this brush work on short, thick hair? Thank you,",Personal Care
what color is best for light skin ? i have used classic ivory but need one shade lighter,Personal Care
Does this work well with oily skin?,Personal Care
I have light to medium skin and dark circles and some aging wrinkles-what color concealer do you recommend?,Personal Care
"Is this the new version shown on the Elta MD site that says on the bottle, ""Skin types prone to acne, rosacea, and hyperpigmentation""?",Personal Care
good for sensitive skin?,Personal Care
"I have color treated hair so from research,  I should use Nioxin 4. But do you still recommend conditioner? I usually use a moisturizing one.",Personal Care
"I don't have color treated hair, but thinning is my concern. I want to know whether I should use number 3 or 4?",Personal Care
will this cover grey hair also or does it just bleach,Personal Care
Is one pack enough for a long hair or not?,Personal Care
Would the creamy caramel or toasted almond be better on hair that is a very deep dark brown to obtain a golden honey look? Thanks!,Personal Care
Been using L'Oreal Excellence Permanent color.  Hair can't handle it with age anymore.  Can I switch over to Healthy Look with out damaging my hair?,Personal Care
Do you apply this to wet or dry hair? I have a hard time putting on wet hair because my hair is so thick. It's easier to put on dry hair? Thank you.,Personal Care
can this work on black hair? what color will it shown?,Personal Care
"Does this hair die work on hair that is not grey? I just want to freshen my color, will this still work or will I need something different?",Personal Care
Does this color selection worked for darker skin or is this palette more for fair skinned people?,Personal Care
Is this OK for sensitive skin?,Personal Care
does this work for all skin type?,Personal Care
"Bare Minerals.....does it cover large pores? does anyone in their 50+ use this stuff? i have tried somebody's sheer cover and it made my pores look huge...is BE better...i didn't want to invest in another! ,makeup and be disappointed again...infomercials look facinating....too good to be true....all the models on tv are young with great skin...how does it work on older skin....does it make not so smooth skin look worse....alot of questions...



    Bare Minerals.....does it cover large pores? does anyone in their 50+ use this stuff? i have tried somebody's sheer cover and it made my pores look huge...is BE better...i didn't want to...
      » 
Read More


   Bare Minerals.....does it cover large pores? does anyone in their 50+ use this stuff? i have tried somebody's sheer cover and it made my pores look huge...is BE better...i didn't want to invest in another! ,makeup and be disappointed again...infomercials look facinating....too good to be true....all the models on tv are young with great skin...how does it work on older skin....does it make not so smooth skin look worse....alot of questions...
      « 

Show Less",Personal Care
Can I dye my hair blue instead of black with this?  thanks,Personal Care
Does this work on black hair?,Personal Care
Is this product for all ethnic group hair types?,Personal Care
Does it work if you don't blowdry your hair and simply use it after the shower?,Personal Care
Does this help with hair loss?  Or does it just thicken what's already there?,Personal Care
is it normal that this hair straightener smells bit burnt? (new/plastic smell)  and how often does the heat/temp drops when you use?,Personal Care
"Ingredients It would be helpful to have the exact ingredients listed. Some of us are allergic to bismuth oxychloride. Is any of that present? What about the size of the minerals? I've been reading that nano-sized (less than 100nm) mineral particles may be harmful to the skin. Do any of the Bare Escentual products contain nano-sized particles?



    Ingredients It would be helpful to have the exact ingredients listed. Some of us are allergic to bismuth oxychloride. Is any of that present? What about the size of the minerals? I've been...
      » 
Read More


   Ingredients It would be helpful to have the exact ingredients listed. Some of us are allergic to bismuth oxychloride. Is any of that present? What about the size of the minerals? I've been reading that nano-sized (less than 100nm) mineral particles may be harmful to the skin. Do any of the Bare Escentual products contain nano-sized particles?
      « 

Show Less",Personal Care
"I have very light skin, what color of bare escentuals do I need?",Personal Care
how much darker are the medium to dark skin than the fair to medium?  I would like to go a little darker but don't want to look fake!,Personal Care
Does it curl your hair?,Personal Care
can it be used on caucasion hair. i use the shampoo and conditioneer. but was going to use it as a leave in style product. does it work that way?,Personal Care
Is this product suitable for type 2 hair and what's the best way to use it if yes...,Personal Care
Does this product define and loosen curls on 4c  hair?,Personal Care
Can it be used on black men hair,Personal Care
"I have long hair, would I be able to curl it with this Iron? or maybe I need wider plates??",Personal Care
"Is this lotion greasy? I am using Lubriderm for sensitive skin and even though it is supposed to be non-greasy, it still feels a little greasy to me.",Personal Care
Does this iron damage hair over time?,Personal Care
which is better for dark skin/,Personal Care
"Hello, I'm Indian so my skin shade is olive with yellow undertones. If you compare it to the shades in MAC, I'm NC44. Will banana look better or this?",Personal Care
Im fair skin is this a okay contour color,Personal Care
how many watts is the dryer?  It looks great but I have thick wavy hair and it needs high wattage.  Hoping it is 2000 watts.,Personal Care
"How does this dry thick, fine, straight hair?  Or just thick hair period?",Personal Care
"My stylist applied this to my hair wet, right after he washed it.  I have not read anywhere that, its recommended or not. Any thoughts?",Personal Care
Is this permanent hair color?,Personal Care
"My stylist applied this to my hair wet, right after he washed it.  I have not read anywhere that, its recommended or not. Any thoughts?",Personal Care
Is this permanent hair color?,Personal Care
How does it smell?  Didn't like the minty smell of other thinning hair products.,Personal Care
"I have very thin hair, and have been using the shampoo for almost a year. However, it seems to make my hair oily. What should I do?",Personal Care
Why does the professional strength hair spray not spray after just a couple of uses?  Very frustrating!!,Personal Care
Is this the product advertised.  I only want the Herstyler VITAMIN E Hair Serum as shown in the advertisement!,Personal Care
"i had the Babyliss nano titanium plate straightner, how does this compare to it? the titanium made my hair smooth and shiny",Personal Care
"people say it stopped working for no reason, is it true? and they also say that it does not straighten hair well, how correct is that?",Personal Care
how does this iron work with frizz and thick hair? comparable to chi?,Personal Care
"Are the ""teeth"" long enough to catch hair? That's been my trouble with other brush irons....",Personal Care
"If covering grey, does it maintain the color for 4 weeks. I find most brands lose the color and my hair lightens as each week passes",Personal Care
"is this hair color all-natural, tha is chemical free ?",Personal Care
What about this product on relaxed hair?,Personal Care
Can you use it on non-natural hair?,Personal Care
"I've been reading how it works on hair and i want to know sites it work on all types of hair? Black, white, Spanish?",Personal Care
"For those with fine, thin, naturally wavy hair, do you like the results when you use this? I want to let my hair be naturally wavy/curly.",Personal Care
Is this shampoo safe for color treated hair?  Will it strip my hair color or make it more dry?,Personal Care
does it mix well with other oils? im frying to make a hair oil using several different natural oils.,Personal Care
My hair is extremeley curly and thick with a lot of frizz will this product work on my hair?,Personal Care
i have straight but not so straight hair and its like up to my mid-stomach which should i use 1 or 1 and 3 quarters?,Personal Care
does it straight your hair fast,Personal Care
What if I don't have the machine for the gel nail Polish can it still be used ??,Personal Care
I have curly hair that is colored treated.  Which type of No-Poo should I use?,Personal Care
"I'm not a fan of rose scent but heard it was good as a skin spritz on hot days. Can anyone tell me if this product  has the cloying, heavy rose smell?",Personal Care
can this be used as a hair dress,Personal Care
can it restore natural hair after using heat,Personal Care
"I don't have a hair dryer - instead of using that, can I just leave it on for an hour or so and get the same effect? My hair is really damaged.",Personal Care
"hello, i have had my hair colored for a few years now im doing it myself and i don't how to pick a color and what i would need to be able to use this",Personal Care
"WHAT ,AND HOW MUCH OF PRODUCT?  and name of product to mix with IGORAPersonality hair color",Personal Care
How long do you leave the color mixed with developer in your hair?,Personal Care
"hello, i have had my hair colored for a few years now im doing it myself and i don't how to pick a color and what i would need to be able to use this",Personal Care
"WHAT ,AND HOW MUCH OF PRODUCT?  and name of product to mix with IGORAPersonality hair color",Personal Care
How long do you leave the color mixed with developer in your hair?,Personal Care
"is it oil free, and suitable for acne prone skin?",Personal Care
Can this product be used on colored treated hair ?,Personal Care
does this shampoo give the hair added body,Personal Care
Can I use this one brassy light brown hair?,Personal Care
my hair is a little difficult to take color. it is a bleach blonde now working to the ash. is this a good product for hard hair?,Personal Care
Would it dry the skin? I am 65,Personal Care
is this a leave-in hair conditioner?,Personal Care
Does this product work on black natural hair?,Personal Care
"Does this smooth and soften gray hair? I have a relative that has never dyed her hair, all gray, and it's very wirey, frizzy, and coarse looking.",Personal Care
i just bought this product keratin intensive treatment will it be more effective if i sit under a hair dryer?,Personal Care
can you use this as a hair curler to make waves?,Personal Care
Do You recommend this if my hair length is to my mid-back? it looks smaller on the picture,Personal Care
Should you shampoo your hair first?,Personal Care
I have PLATINUM hair that needs toning at the roots- I usually use Wella T18 but need to undo some damage this time as well as tone. Would this work?,Personal Care
I have highlighted blonde hair & want to go back to my natural brunette. Which color filler should I use?,Personal Care
Does this product work well for ethnic skin types?,Personal Care
Does this cover grey eyebrow hair ?,Personal Care
Is this good for dry or oily skin? or can it be for both?,Personal Care
Does it like expire ? Get old and damage my skin???,Personal Care
Does this product increases hair growth? Like how many inches in a month?,Personal Care
Does this grow hair ?,Personal Care
"Can these be used to hold jumbo Velcro rollers used to roller set hair (long, very thick hair)?",Personal Care
uses for short fine hair,Personal Care
is it good for short (just below my ears) naturally curly hair?,Personal Care
may i know is it a 50mm big hair?,Personal Care
Is it sulfate and paraben free? Is it formulated to use on hair that has had a keratin straightening treatment?,Personal Care
Is it only for keratin treated hair?,Personal Care
Should I except straight hair from it?,Personal Care
Does this product work on any Keratin treated hair?,Personal Care
Can you use this on wet hair?,Personal Care
what does it smell like in comparison to and does the smell fade after you put it on skin ?,Personal Care
"I took off the plastic film and tried stamping by putting the nail polish on the design, scrapping off the excess but it won't go on the stamper. Why?",Personal Care
does this glitter stick to skin w/o glue?,Personal Care
Is it suitable for oily hair?,Personal Care
"Is this shampoo only for damaged hair, and can you use it for your weekly shampoo?",Personal Care
"Does this product work on permed hair?  I am 45 & have long, blonde, permed hair.  As I get older, I have more & more breakage & shedding each Winter.",Personal Care
Does this protect your hair from the heat of a straightener?  Thanks.,Personal Care
I used this on my hair after a shower and it left it super greasy.  Should it be applied to dry hair?,Personal Care
"How is does this differ from their oil for Body, Hair & Face Treatment.Pure, Natural & Organic Top Held Secret for Softer Skin & Silkier Hair for $38?",Personal Care
any good hair wash that goes good with this?,Personal Care
Will this dryer be good for very short fine gray hair?,Personal Care
Does it have a cold shot to set hair?,Personal Care
WILL IT WORK ON OILY HAIR,Personal Care
"Has Caboki been altered? My recent order arrived in a new bottle, the fibers looked purple until mixed with my hair and had a stickier feel",Personal Care
"Can you wear hair gel with this? If so, do you put this on first and then put a light amount of gel or do you put the gel first and then this?",Personal Care
How good is this hair? Is it worth buying??,Personal Care
it is real hair?,Personal Care
Does this machine cause facial hair growth?  Not exactly where I want hair to grow.,Personal Care
Which one of these high frequency machines works well in making your hair thick and also grow,Personal Care
Does it work to thicken hair?,Personal Care
"Can you use this alone, directly on skin?",Personal Care
Is kernique a safe product to use for normal very fine hair and will it help to grow more volume and thickness?,Personal Care
is this safe to for fine hair with very little or no actual bald spots? will hair grow stronger?,Personal Care
why  didnt i  feel  a  thing  after  using  the  whole   1. oz  botte   mixed with  4 oz   of  water only   and  felt  nothing  on  my skin  ?,Personal Care
Would you recommend this for thick hair ?,Personal Care
Can you use it with loose long hair or does it suck the hair up into the fan?,Personal Care
"Can you also use this shampoo on hair that is mostly gray, to get the yellow out?",Personal Care
Most products make my fine hair flat as day goes on. Will I have better luck from Mega Whip?,Personal Care
How does this product work for very fine hair? I have a hard time finding anything that will make my hair soft and sleek without over greasing it.,Personal Care
Whats the full ingredients list? Dont want to put parabens and mineral oil on my skin for example.,Personal Care
Which product would be best for my hair. I need body. I have color treated hair that is baby fine. Very silky need good moisturizing body building.  C,Personal Care
I'm using L'Oreal Sulfate free shampoo but my hair is left greasy after one day. Does this duo clean better without striping and drying out my hair?,Personal Care
Can this be used on hair treated with Brazilian Blowout and other hair straightening treatments?,Personal Care
is this good for color hair,Personal Care
SINCERELY; can I use this products on my hair? My hairdresser is going to put on me the famous BRASIL CACAU keratin. Is it SLS and Parabeen free?,Personal Care
How do you co wash hair?,Personal Care
"Is this product for all types of people of ethnic backgrounds and hair types, I am Caucasian with fine dry somewhat frizzy hair is it worth a try?",Personal Care
Is this safe for relaxed hair?,Personal Care
DOES THIS DRY YOUR HAIR,Personal Care
Is this only for coarse surly hair or will it work on fine limp hair as well?,Personal Care
This hair dryer brings with concentrator nozzle?,Personal Care
I purchased one and the temperature is not very hot.  Is this normal?  Everything else is great but it takes forever to dry my hair.,Personal Care
What does soak off gel lacquer in the product description mean? Would typical nail polish remover work?,Personal Care
Will it work with Regular nail polish?,Personal Care
How long do you wait to wash hair?  Can you go over it with a flat iron after 24 hrs,Personal Care
"Which hair taming system is this? ex: light, medium, curly or full tame?",Personal Care
Can you put hair extensions in the next day or do you have to wait?,Personal Care
Does work with regular nail polish?,Personal Care
"How does this work for the neck? Ca it also be used for skin around the eyes - underneath and on the lids? Can this be used in conjunction while I'm using a retinoid cream? One day on and one day off with either cream. Thanks!



    How does this work for the neck? Ca it also be used for skin around the eyes - underneath and on the lids? Can this be used in conjunction while I'm using a retinoid cream? One day on and one...
      » 
Read More


   How does this work for the neck? Ca it also be used for skin around the eyes - underneath and on the lids? Can this be used in conjunction while I'm using a retinoid cream? One day on and one day off with either cream. Thanks!
      « 

Show Less",Personal Care
do you need to poke the zit with a sterile needle first?  or does this tool break the skin by force?,Personal Care
does it work with oily skin?,Personal Care
"What length(s) of hair do the rollers curl.  My hair is not long - about 6"".",Personal Care
